iStar size,Agents,Runs,Mean Time (s),Std,Median  Time (s)
1,2,0,0.07258690417289156,0.0021078877090640845,0.07258690417289156
10,2,1,0.054842764523674925,0.0050843318827541615,0.054842764523674925
100,2,15,0.1875064714187433,0.0286309851561281,0.1875064714187433
1000,2,150,1.6283537042778229,0.017830702177342,1.6283537042778229
5000,2,750,19.47390769243773,1.2663502024571114,19.47390769243773
10000,2,1500,69.63147583364702,0.14561480405498453,69.63147583364702
50000,2,7500,1835.8350021417946,22.84865576894541,1835.8350021417946
100000,2,15000,7225.3584139612985,6.229827223922292,7225.3584139612985
